result_set,workload,operation,rw,bs,iodepth,size,direct,runtime_sec_mean,run_count,bandwidth_mib_s_mean,bandwidth_mib_s_std,bandwidth_mib_s_cv,iops_mean,iops_std,iops_cv,clat_mean_us_mean,clat_mean_us_std,clat_mean_us_cv,clat_p99_us_mean,clat_p99_us_std,clat_p99_us_cv,clat_p999_us_mean,clat_p999_us_std,clat_p999_us_cv,clat_max_us_mean,clat_max_us_std,clat_max_us_cv,iops_last_over_first_mean,iops_last_over_first_std,iops_last_over_first_cv,bandwidth_last_over_first_mean,bandwidth_last_over_first_std,bandwidth_last_over_first_cv,clat_last_over_first_mean,clat_last_over_first_std,clat_last_over_first_cv,candidate_spike_count_mean,candidate_spike_count_std,candidate_spike_count_cv
legacy_root,rand_write,write,randwrite,4k,16,1G,1,120.001,1,86.4094352722168,,,22120.81566,,,367.285041389,,,1581.056,,,5144.576,,,1040586.906,,,0.9537485537521213,,,0.9537497814864629,,,1.0492933626030692,,,4.0,,
rand_read_120s_repeat3,rand_read,read,randread,4k,16,1G,1,120.00100000000002,3,95.881210009257,9.510322009233771,0.09918858980102131,24545.589897666665,2434.6424824427736,0.09918859121304775,418.0570473496666,35.01688233628519,0.08376101433591374,2482.176,710.3460765120055,0.286178770768876,9852.245333333334,1174.7834514417261,0.11924017436584264,101842.40266666666,12975.681499554632,0.12740942043585166,1.147919983889419,0.10249287988767888,0.0892857353527458,1.1479175422449543,0.1024751700436896,0.08927049746385216,0.8586003610984969,0.06094175160141387,0.07097801766987931,3.0,1.0,0.3333333333333333
rand_write_120s_repeat3,rand_write,write,randwrite,4k,16,1G,1,120.00100000000002,3,115.7038205464681,3.2332129423300704,0.027943873651359436,29620.17816533333,827.702602511515,0.027943876565882243,280.6651928193333,7.656119814212079,0.02727847987598659,722.2613333333334,73.42396571510785,0.10165844733269377,1567.4026666666668,615.3459029759875,0.3925895470655408,1763523.2793333333,2758214.4273925186,1.5640363014857448,1.0725918848469698,0.10661412945674395,0.09939859788511726,1.0725920595756644,0.10661343191754429,0.09939793136238802,1.0630058969150915,0.3451071554807035,0.32465215525353686,5.0,0.0,0.0
rand_write_300s_repeat3,rand_write,write,randwrite,4k,16,2G,1,300.001,3,77.46516640981038,5.731908309379447,0.07399336469576788,19831.082785333332,1467.3684544616126,0.0739933603397011,415.5369333616666,31.774865367567863,0.07646700645959742,2482.176,710.7238699579466,0.2863309732903495,9011.199999999999,2349.9477017227427,0.2607807730072291,761457.4036666667,1198225.4806799113,1.5735948917300735,1.262697989050699,0.3264152903680672,0.25850622492356023,1.2626966854355055,0.3264109299115348,0.25850303851788076,0.8061957349837474,0.20836460871704854,0.25845411936004486,3.6666666666666665,2.3094010767585034,0.6298366572977737
