study_id,session_index,session_id,started_at,completed_at,reconnect_start_confirmed,same_port_confirmed,disconnect_sec,initial_idle_sec,post_condition_idle_sec,baseline_result_set,condition_result_set,post_result_set,baseline_bandwidth_mib_s,condition_bandwidth_mib_s,post_bandwidth_mib_s,post_over_baseline_bandwidth_mib_s,post_vs_baseline_bandwidth_mib_s_delta_pct,baseline_iops,condition_iops,post_iops,post_over_baseline_iops,post_vs_baseline_iops_delta_pct,baseline_clat_mean_us,condition_clat_mean_us,post_clat_mean_us,post_over_baseline_clat_mean_us,post_vs_baseline_clat_mean_us_delta_pct,baseline_clat_p99_us,condition_clat_p99_us,post_clat_p99_us,post_over_baseline_clat_p99_us,post_vs_baseline_clat_p99_us_delta_pct,baseline_clat_p999_us,condition_clat_p999_us,post_clat_p999_us,post_over_baseline_clat_p999_us,post_vs_baseline_clat_p999_us_delta_pct,baseline_clat_max_us,condition_clat_max_us,post_clat_max_us,post_over_baseline_clat_max_us,post_vs_baseline_clat_max_us_delta_pct
state_repro_002,1,state_repro_002_session1_20260723,2026-07-23T14:29:45.5018315+09:00,2026-07-23T14:46:57.2814720+09:00,True,True,600,300,60,sustained_state_repro_002_session1_20260723_baseline_qd16_120s_run1,sustained_state_repro_002_session1_20260723_condition_qd32_300s_run1,sustained_state_repro_002_session1_20260723_post_qd16_120s_run1,123.84701442718506,132.71623706817627,115.9631929397583,0.9363422564210299,-6.365774357897013,31704.835793,33975.356749,29686.577612,0.9363422603991028,-6.365773960089715,262.34655802400005,481.94058686600005,281.959903247,1.0747612065914953,7.476120659149532,741.376,1449.984,946.176,1.2762430939226521,27.62430939226521,2277.376,4423.68,3784.704,1.6618705035971222,66.18705035971222,57432.292,119673.292,110145.71,1.9178358753295097,91.78358753295097
state_repro_002,2,state_repro_002_session2_20260723,2026-07-23T14:58:55.0055625+09:00,2026-07-23T15:15:49.5428604+09:00,True,True,600,300,60,sustained_state_repro_002_session2_20260723_baseline_qd16_120s_run1,sustained_state_repro_002_session2_20260723_condition_qd32_300s_run1,sustained_state_repro_002_session2_20260723_post_qd16_120s_run1,140.86562252044678,121.35447788238525,130.16841316223145,0.924060894582973,-7.593910541702698,36061.599487,31066.746444,33323.113974,0.924060897132774,-7.593910286722605,232.849388331,524.285276513,250.671719474,1.0765401673190793,7.654016731907931,569.344,1335.296,724.992,1.2733812949640286,27.338129496402864,913.408,3031.04,1908.736,2.089686098654709,108.96860986547088,31303.576,101974.3,33849.62,1.0813339664452395,8.133396644523948
state_repro_002,3,state_repro_002_session3_20260723,2026-07-23T15:30:55.2153157+09:00,2026-07-23T15:48:47.8321505+09:00,True,True,600,300,60,sustained_state_repro_002_session3_20260723_baseline_qd16_120s_run1,sustained_state_repro_002_session3_20260723_condition_qd32_300s_run1,sustained_state_repro_002_session3_20260723_post_qd16_120s_run1,110.33973789215088,103.16158294677734,136.08223152160645,1.2333021096589607,23.33021096589607,28246.972942,26409.365302,34837.051358,1.2333021109742102,23.330211097421017,293.89707311,614.0424408289999,239.913829069,0.8163192185966578,-18.36807814033422,1089.536,2310.144,585.728,0.537593984962406,-46.24060150375941,3424.256,6062.08,856.064,0.25,-75.0,49192.15,78364.067,37744.488,0.7672868130382591,-23.27131869617409
