workload,direct_run_count,buffered_run_count,direct_bandwidth_mib_s_mean,buffered_bandwidth_mib_s_mean,buffered_over_direct_bandwidth_mib_s,buffered_minus_direct_bandwidth_mib_s,direct_iops_mean,buffered_iops_mean,buffered_over_direct_iops,buffered_minus_direct_iops,direct_clat_mean_us_mean,buffered_clat_mean_us_mean,buffered_over_direct_clat_mean_us,buffered_minus_direct_clat_mean_us,direct_clat_p95_us_mean,buffered_clat_p95_us_mean,buffered_over_direct_clat_p95_us,buffered_minus_direct_clat_p95_us,direct_clat_p99_us_mean,buffered_clat_p99_us_mean,buffered_over_direct_clat_p99_us,buffered_minus_direct_clat_p99_us,direct_clat_p999_us_mean,buffered_clat_p999_us_mean,buffered_over_direct_clat_p999_us,buffered_minus_direct_clat_p999_us
rand_read,3,3,213.91561222076416,351.88757578531903,1.6449831413995426,137.97196356455487,54762.396809,90083.21944833333,1.6449831398454877,35320.82263933333,199.914572408,103.25905428633332,0.5165158949773548,-96.65551812166667,306.5173333333333,258.048,0.8418708240534523,-48.46933333333328,392.5333333333333,343.3813333333333,0.8747826086956522,-49.15199999999999,563.8826666666668,494.25066666666663,0.8765133171912831,-69.63200000000012
rand_write,3,3,125.71894264221191,178.26219940185547,1.4179422420786525,52.543256759643555,32184.049420333333,45635.123273666664,1.417942244546616,13451.073853333331,265.3620183676667,173.68187689133333,0.6545091794210433,-91.68014147633335,509.26933333333324,350.208,0.687667560321716,-159.0613333333332,667.648,467.6266666666666,0.7004089979550101,-200.02133333333342,955.7333333333332,656.7253333333333,0.6871428571428572,-299.0079999999999
