msec,sec,bandwidth_kib_s,iops,clat_avg_us,result_set,workload,run,source_file
23000.0,23.0,,,242.073,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
23019.0,23.019,137252.0,34313.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
24000.0,24.0,,,251.663,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
24020.0,24.02,130421.0,32605.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
25000.0,25.0,,,229.622,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
25020.0,25.02,146248.0,36562.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
26000.0,26.0,,,248.545,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
26020.0,26.02,133572.0,33393.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
27000.0,27.0,,,247.292,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
27021.0,27.021,134040.0,33510.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
28000.0,28.0,,,208.692,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
28022.0,28.022,161610.0,40402.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
29000.0,29.0,,,213.353,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
