1000, 36707, 1, 0, 0
2000, 36696, 1, 0, 0
3000, 39260, 1, 0, 0
4000, 36131, 1, 0, 0
5000, 39479, 1, 0, 0
6000, 32158, 1, 0, 0
7000, 28526, 1, 0, 0
8000, 28499, 1, 0, 0
9000, 28332, 1, 0, 0
10000, 28457, 1, 0, 0
11000, 28328, 1, 0, 0
12000, 28512, 1, 0, 0
13000, 28124, 1, 0, 0
14000, 28449, 1, 0, 0
15000, 28244, 1, 0, 0
16000, 28449, 1, 0, 0
17000, 28336, 1, 0, 0
18000, 28325, 1, 0, 0
19000, 28459, 1, 0, 0
20000, 28433, 1, 0, 0
21000, 28245, 1, 0, 0
22000, 28348, 1, 0, 0
23000, 28450, 1, 0, 0
24000, 28470, 1, 0, 0
25000, 28709, 1, 0, 0
26000, 28409, 1, 0, 0
27000, 28432, 1, 0, 0
28000, 28272, 1, 0, 0
29000, 28411, 1, 0, 0
30003, 28539, 1, 0, 0
