1000, 419948, 1, 0, 0
2000, 501211, 1, 0, 0
3000, 471575, 1, 0, 0
4000, 453617, 1, 0, 0
5000, 477998, 1, 0, 0
6000, 473751, 1, 0, 0
7000, 464221, 1, 0, 0
8000, 463266, 1, 0, 0
9000, 416399, 1, 0, 0
10000, 414826, 1, 0, 0
11000, 401621, 1, 0, 0
12000, 407146, 1, 0, 0
13000, 401977, 1, 0, 0
14000, 403724, 1, 0, 0
15000, 406743, 1, 0, 0
16000, 400732, 1, 0, 0
17000, 400520, 1, 0, 0
18000, 399713, 1, 0, 0
19000, 402137, 1, 0, 0
20000, 417860, 1, 0, 0
21000, 481222, 1, 0, 0
22000, 473801, 1, 0, 0
23000, 464278, 1, 0, 0
24000, 461396, 1, 0, 0
25000, 418340, 1, 0, 0
26000, 413183, 1, 0, 0
27000, 422494, 1, 0, 0
28000, 409777, 1, 0, 0
29000, 425978, 1, 0, 0
30000, 421654, 1, 0, 0
30000, 353665, 1, 0, 0
