1002, 487473, 1, 0, 0
2002, 485376, 1, 0, 0
3006, 489028, 1, 0, 0
4005, 490986, 1, 0, 0
5007, 486937, 1, 0, 0
6008, 488983, 1, 0, 0
7006, 489426, 1, 0, 0
8006, 492012, 1, 0, 0
9005, 494062, 1, 0, 0
10005, 486886, 1, 0, 0
11006, 482845, 1, 0, 0
12007, 487424, 1, 0, 0
13005, 488400, 1, 0, 0
14008, 495648, 1, 0, 0
15008, 486400, 1, 0, 0
16008, 485376, 1, 0, 0
17007, 483270, 1, 0, 0
18006, 479711, 1, 0, 0
19005, 480736, 1, 0, 0
20006, 488448, 1, 0, 0
21007, 479232, 1, 0, 0
22007, 484836, 1, 0, 0
23006, 489426, 1, 0, 0
24006, 489472, 1, 0, 0
25007, 485376, 1, 0, 0
26007, 497137, 1, 0, 0
27007, 490496, 1, 0, 0
28005, 488400, 1, 0, 0
29005, 489961, 1, 0, 0
30006, 486937, 1, 0, 0
31005, 494557, 1, 0, 0
32005, 480736, 1, 0, 0
33007, 488495, 1, 0, 0
34006, 489961, 1, 0, 0
35004, 493531, 1, 0, 0
36007, 490538, 1, 0, 0
37006, 492012, 1, 0, 0
38006, 496112, 1, 0, 0
39005, 490452, 1, 0, 0
40005, 490496, 1, 0, 0
41008, 480319, 1, 0, 0
42009, 488448, 1, 0, 0
43010, 487960, 1, 0, 0
44011, 490005, 1, 0, 0
45012, 487424, 1, 0, 0
46013, 491520, 1, 0, 0
47013, 490496, 1, 0, 0
48014, 493074, 1, 0, 0
49015, 482304, 1, 0, 0
50016, 492544, 1, 0, 0
51016, 485376, 1, 0, 0
52017, 491520, 1, 0, 0
53017, 488448, 1, 0, 0
54018, 493568, 1, 0, 0
55019, 490496, 1, 0, 0
56020, 491028, 1, 0, 0
57021, 490496, 1, 0, 0
58022, 487960, 1, 0, 0
59023, 484891, 1, 0, 0
60025, 488983, 1, 0, 0
61025, 484352, 1, 0, 0
62026, 491520, 1, 0, 0
63027, 495120, 1, 0, 0
64028, 490005, 1, 0, 0
65029, 483868, 1, 0, 0
66030, 487960, 1, 0, 0
67031, 494592, 1, 0, 0
68031, 488448, 1, 0, 0
