dimension,level,sample_count,total_bandwidth_mib_s_mean,total_bandwidth_mib_s_min,total_bandwidth_mib_s_max,total_bandwidth_mib_s_stdev,total_bandwidth_mib_s_cv,read_bandwidth_mib_s_mean,write_bandwidth_mib_s_mean,read_clat_p99_ms_mean,read_clat_p99_ms_min,read_clat_p99_ms_max,read_clat_p999_ms_mean,read_clat_p999_ms_min,read_clat_p999_ms_max,write_clat_p99_ms_mean,write_clat_p999_ms_mean
cycle,1,3,184.0603405634562,160.66251754760742,202.29260349273682,21.290332834544294,0.11567039792151362,131.6223440170288,52.43799654642741,0.6294186666666667,0.569344,0.7168,1.2834133333333333,0.88064,2.023424,0.45056,0.851968
cycle,2,3,179.66883595784506,171.97137451171875,190.71491146087646,9.81019655346859,0.05460154790433615,127.02042357126872,52.64841238657633,0.6458026666666666,0.610304,0.67584,0.9939626666666667,0.913408,1.089536,0.43485866666666667,0.6731093333333333
cycle,3,3,179.96523189544678,169.44463062286377,189.89234733581543,10.236769449785417,0.056881928481233565,127.33996772766113,52.625264167785645,0.6294186666666667,0.585728,0.67584,0.9885013333333333,0.888832,1.089536,0.44578133333333336,0.7031466666666667
position,1,3,175.62502892812094,160.66251754760742,189.89234733581543,14.627310323979447,0.08328716250327879,124.89042250315349,50.734606424967446,0.651264,0.585728,0.7168,1.2970666666666666,0.888832,2.023424,0.44782933333333336,0.843776
position,2,3,183.12848091125488,169.44463062286377,190.71491146087646,11.873925523390938,0.06483931644223659,129.60955874125162,53.51892217000326,0.6294186666666667,0.602112,0.67584,0.98304,0.913408,1.089536,0.44032,0.6813013333333333
position,3,3,184.94089857737222,171.97137451171875,202.29260349273682,15.628399261585093,0.0845048303636676,131.48275407155356,53.45814450581869,0.6239573333333334,0.569344,0.67584,0.9857706666666667,0.88064,1.089536,0.44305066666666665,0.7031466666666667
