ratio,sample_count,total_bandwidth_mib_s_mean,total_bandwidth_mib_s_min,total_bandwidth_mib_s_max,total_bandwidth_mib_s_stdev,total_bandwidth_mib_s_cv,read_bandwidth_mib_s_mean,write_bandwidth_mib_s_mean,read_clat_p99_ms_mean,read_clat_p99_ms_min,read_clat_p99_ms_max,read_clat_p999_ms_mean,read_clat_p999_ms_min,read_clat_p999_ms_max,write_clat_p99_ms_mean,write_clat_p999_ms_mean
50:50,3,167.35950756072998,160.66251754760742,171.97137451171875,5.935769966639877,0.03546718111898098,83.69694487253825,83.66256268819173,0.6894933333333333,0.67584,0.7168,1.400832,1.089536,2.023424,0.5270186666666666,0.9530026666666667
70:30,3,182.03494675954184,176.32022190093994,189.2259006500244,6.578265357187121,0.03613737622521816,127.41874313354492,54.61620362599691,0.626688,0.602112,0.651264,0.9707520000000001,0.946176,0.987136,0.44032,0.6894933333333333
90:10,3,194.29995409647623,189.89234733581543,202.29260349273682,6.9340454435789365,0.03568732414695249,174.8670473098755,19.43290678660075,0.5884586666666667,0.569344,0.610304,0.8942933333333333,0.88064,0.913408,0.3638613333333333,0.585728
