dimension,level,sample_count,total_bandwidth_mib_s_mean,total_bandwidth_mib_s_min,total_bandwidth_mib_s_max,total_bandwidth_mib_s_stdev,total_bandwidth_mib_s_cv,read_bandwidth_mib_s_mean,write_bandwidth_mib_s_mean,read_clat_p99_ms_mean,read_clat_p99_ms_min,read_clat_p99_ms_max,read_clat_p999_ms_mean,read_clat_p999_ms_min,read_clat_p999_ms_max,write_clat_p99_ms_mean,write_clat_p999_ms_mean
cycle,1,3,75.12366898854573,61.28168964385986,93.82866287231445,16.809611815533792,0.22375919656023177,54.75653616587321,20.367132822672527,3.93216,3.096576,4.554752,8.050005333333333,6.324224,9.371648,3.5007146666666666,7.689557333333333
cycle,2,3,109.74447790781657,54.64856719970703,156.20755195617676,51.32690569074515,0.4676946546126799,72.57503763834636,37.169440269470215,2.445312,0.643072,5.341184,5.540522666666667,1.056768,9.633792,2.1510826666666665,5.1486719999999995
cycle,3,3,156.34255504608154,127.7636775970459,179.16671180725098,26.180251892416827,0.1674544201014258,112.86464309692383,43.477911949157715,0.7277226666666666,0.602112,0.905216,1.6220160000000001,1.10592,2.342912,0.5270186666666666,1.0868053333333334
position,1,3,125.93329747517903,93.82866287231445,156.20755195617676,31.229700116669274,0.24798604295122606,85.88905302683513,40.04424444834391,1.548288,0.643072,3.096576,3.2413013333333334,1.056768,6.324224,1.25952,2.770261333333333
position,2,3,122.60156027475993,70.26065444946289,179.16671180725098,54.5757777878659,0.4451474978422559,89.87852923075359,32.72303104400635,2.0329813333333333,0.602112,4.145152,5.163690666666667,1.10592,8.454144,1.77152,4.829184
position,3,3,92.67584419250488,54.64856719970703,162.09727573394775,60.2121328827273,0.6497068724581084,64.42863464355469,28.247209548950195,3.523925333333333,0.67584,5.341184,6.807552,1.417216,9.633792,3.147776,6.325589333333333
