phase_order,ratio,plateau_window,plateau_bandwidth_mib_s,plateau_fraction,transition_threshold_mib_s,consecutive_samples,transition_sec,transition_found,first_third_bandwidth_mib_s,plateau_over_first_third,experiment_id,phase_code,requested_pre_probe_idle_sec,condition_replicate,actual_controlled_idle_sec,previous_fio_gap_sec,last_over_first_total_bandwidth,last_over_first_read_bandwidth,last_over_first_write_bandwidth,last_over_first_read_clat,last_over_first_write_clat,ramp_present
1,70:30,last_third,144.558935546875,0.8,115.64714843750001,5,1.002,True,117.45350060096153,1.2307758798777904,idle_ramp_7030_32g_20260725,A1,300,1,300.03617099999997,,1.2307758798777901,1.2311958648241403,1.229796248300204,0.8923358522092958,0.8012787756362985,False
2,70:30,last_third,185.40463033536585,0.8,148.3237042682927,5,20.016,True,158.51066706730768,1.1696665831116484,idle_ramp_7030_32g_20260725,B1,60,1,60.0242954,60.1149255,1.1696665831116484,1.1699186153316743,1.169078691211761,0.959098997661028,0.8425071484354707,False
3,70:30,last_third,167.2669112042683,0.8,133.81352896341465,5,2.002,True,153.4005408653846,1.0903932297804086,idle_ramp_7030_32g_20260725,C1,0,1,0.0,0,1.0903932297804086,1.090421301832307,1.0903277306068866,0.8721141144408895,0.7157379290101072,False
4,70:30,last_third,198.51383860518294,0.8,158.81107088414637,5,1.001,True,152.08062900641025,1.3053196840526975,idle_ramp_7030_32g_20260725,C2,0,2,0.0,0.0156284,1.3053196840526975,1.3053180190672609,1.3053235681952007,0.8702664700812102,0.6527825179078082,False
5,70:30,last_third,162.60685022865854,0.8,130.08548018292683,5,1.002,True,163.9564453125,0.9917685756039104,idle_ramp_7030_32g_20260725,B2,60,2,60.0080963,60.0080963,0.9669743612138126,0.9671538912654486,0.9665556570628365,1.0563959364534834,1.0558198600591082,False
6,70:30,last_third,185.09877572408536,0.8,148.0790205792683,5,1.002,True,205.4356470352564,0.9010061223324067,idle_ramp_7030_32g_20260725,A2,300,2,300.01105409999997,300.0190229,0.9010061223324067,0.9003854451058801,0.9024538653007851,1.1214772132991782,1.2755328352616961,False
