block_size,read_bandwidth_mib_s_mean,write_bandwidth_mib_s_mean,write_over_read_bandwidth,read_iops_mean,write_iops_mean,write_over_read_iops,read_clat_p99_ms_mean,write_clat_p99_ms_mean,write_over_read_p99,read_clat_p999_ms_mean,write_clat_p999_ms_mean,write_over_read_p999,interpretation_boundary
4k,215.5110019048055,144.20343939463297,0.6691233306888426,55170.816528,36916.08057533333,0.6691233318360963,0.8697173333333333,1.1728213333333333,1.3485086342229198,1.3735253333333333,2.0507306666666665,1.493041749502982,descriptive comparison across independent read/write sessions
64k,303.71293926239014,497.1087182362874,1.6367716154721175,4859.407036,7953.7395013333335,1.6367716148101108,8.388608,4.445525333333333,0.5299479166666667,12.146005333333333,5.668864,0.466726618705036,descriptive comparison across independent read/write sessions
1m,304.1446599960327,489.6167179743449,1.6098152700781645,304.14466066666665,489.6167183333333,1.6098152677088697,115.51812266666667,69.730304,0.6036308623298033,181.403648,98.39138133333334,0.5423892100192679,descriptive comparison across independent read/write sessions
