workload,operation,block_size,repeat_count,phase_orders,positions,bandwidth_mib_s_mean,bandwidth_mib_s_stdev,bandwidth_mib_s_cv,iops_mean,iops_stdev,iops_cv,clat_mean_ms_mean,clat_p99_ms_mean,clat_p99_ms_cv,clat_p999_ms_mean,clat_p999_ms_cv,clat_max_ms_max
randwrite,write,4k,3,"1,6,8","1,3,2",144.20343939463297,3.6074152958184973,0.025016152950043714,36916.08057533333,923.4983778840917,0.025016154572518646,0.44393320635,1.1728213333333333,0.1222018913656592,2.0507306666666665,0.2750336032226355,25.953577
randwrite,write,64k,3,"2,4,9","2,1,3",497.1087182362874,0.7537006864527854,0.0015161687148172965,7953.7395013333335,12.059210143518412,0.0015161686074200511,3.9885082474563336,4.445525333333333,0.00851130617969962,5.668864,0.18169056237574233,46.385988
randwrite,write,1m,3,"3,5,7","3,2,1",489.6167179743449,0.6622392394819698,0.001352566640742586,489.6167183333333,0.6622391104316511,0.001352566376176713,65.230704788981,69.730304,0.0,98.39138133333334,0.012305867194095092,127.347006
