phase_order,cycle,position,workload,operation,block_size,fio_version,job_error,io_bytes,bandwidth_mib_s,iops,clat_mean_ms,clat_p99_ms,clat_p999_ms,clat_max_ms,source_json
1,1,1,randread,read,4k,fio-3.42,0,6953316352,221.03260612487793,56584.347188,0.394288827869,0.831488,1.138688,4.948993,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase1_c1p1_bs4k.json
2,1,2,randread,read,64k,fio-3.42,0,9583460352,304.57893085479736,4873.262905,6.53984257034,8.159232,9.109504,13.805573,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase2_c1p2_bs64k.json
3,1,3,randread,read,1m,fio-3.42,0,9602859008,304.2322769165039,304.232277,105.09113613616499,108.527616,173.01504,201.636848,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase3_c1p3_bs1m.json
4,2,1,randread,read,64k,fio-3.42,0,9566355456,304.0353078842163,4864.564935,6.550649368250999,8.290304,9.371648,12.941303,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase4_c2p1_bs64k.json
5,2,2,randread,read,1m,fio-3.42,0,9599713280,304.1225118637085,304.122513,105.132384914364,109.576192,173.01504,204.396127,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase5_c2p2_bs1m.json
6,2,3,randread,read,4k,fio-3.42,0,6672490496,212.1056900024414,54299.056698,0.407923300382,0.929792,1.662976,18.218903,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase6_c2p3_bs4k.json
7,3,1,randread,read,1m,fio-3.42,0,9598664704,304.07919120788574,304.079192,105.121103788726,128.45056,198.180864,221.975117,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase7_c3p1_bs1m.json
8,3,2,randread,read,4k,fio-3.42,0,6713040896,213.39470958709717,54629.045698,0.405793103307,0.847872,1.318912,23.189125,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase8_c3p2_bs4k.json
9,3,3,randread,read,64k,fio-3.42,0,9518186496,302.52457904815674,4840.393268,6.557976240167999,8.716288,17.956864,68.592582,D:\ssd_lab\results\external_ssd\sustained_block_size_randread_32g_20260726\sustained_block_size_randread_32g_20260726_phase9_c3p3_bs64k.json
