workload,dimension,level,phase_count,block_sizes,bandwidth_mib_s_mean,iops_mean,clat_p99_ms_mean,clat_p999_ms_mean
randread,cycle,1,3,"4k,64k,1m",276.61460463205975,20587.28079,39.172778666666666,61.087744
randread,cycle,2,3,"4k,64k,1m",273.42116991678876,19822.581382,39.598762666666666,61.349888
randread,cycle,3,3,"4k,64k,1m",273.3328266143799,19924.506052666668,46.00490666666666,72.48554666666666
randread,position,1,3,"4k,64k,1m",276.38236840566,20584.330438333334,45.857450666666665,69.56373333333333
randread,position,2,3,"4k,64k,1m",274.03205076853436,19935.477038666668,39.527765333333335,61.147818666666666
randread,position,3,3,"4k,64k,1m",272.954181989034,19814.560747666666,39.391231999999995,64.21162666666666
