workload,operation,block_size,repeat_count,phase_orders,positions,bandwidth_mib_s_mean,bandwidth_mib_s_stdev,bandwidth_mib_s_cv,iops_mean,iops_stdev,iops_cv,clat_mean_ms_mean,clat_p99_ms_mean,clat_p99_ms_cv,clat_p999_ms_mean,clat_p999_ms_cv,clat_max_ms_max
randread,read,4k,3,"1,6,8","1,3,2",215.5110019048055,4.825088366522189,0.022389058209907556,55170.816528,1235.2226034607183,0.022389057860577877,0.40266841051933333,0.8697173333333333,0.0605566766781347,1.3735253333333333,0.19393635623470698,23.189125
randread,read,64k,3,"2,4,9","2,1,3",303.71293926239014,1.0644395157149509,0.0035047552412488347,4859.407036,17.031036395316427,0.003504756088375641,6.549489392919666,8.388608,0.03471950944263907,12.146005333333333,0.41446201760731755,68.592582
randread,read,1m,3,"3,5,7","3,2,1",304.1446599960327,0.07890952648362354,0.00025944735141709486,304.14466066666665,0.07890908477694523,0.00025944589855360703,105.11487494641833,115.51812266666667,0.0970590918750102,181.403648,0.08009483503208686,221.975117
