1000, 27666, 1, 0, 0
1000, 18509, 0, 0, 0
2000, 22107, 0, 0, 0
2000, 31674, 1, 0, 0
3000, 21646, 0, 0, 0
3000, 31411, 1, 0, 0
4000, 28832, 1, 0, 0
4000, 19732, 0, 0, 0
5000, 20112, 0, 0, 0
5000, 32090, 1, 0, 0
6000, 19679, 0, 0, 0
6000, 28749, 1, 0, 0
7000, 20189, 0, 0, 0
7000, 29487, 1, 0, 0
8000, 19742, 0, 0, 0
8000, 29094, 1, 0, 0
9000, 19377, 0, 0, 0
9000, 28657, 1, 0, 0
10000, 25177, 1, 0, 0
10000, 16995, 0, 0, 0
11000, 25869, 1, 0, 0
11000, 17493, 0, 0, 0
12000, 26070, 1, 0, 0
12000, 17557, 0, 0, 0
13000, 17575, 0, 0, 0
13000, 26193, 1, 0, 0
14000, 19830, 0, 0, 0
14000, 28982, 1, 0, 0
15000, 19751, 0, 0, 0
15000, 28994, 1, 0, 0
16000, 22751, 0, 0, 0
16000, 32312, 1, 0, 0
17000, 19909, 0, 0, 0
17000, 29597, 1, 0, 0
18000, 17801, 0, 0, 0
18000, 26046, 1, 0, 0
19000, 17346, 0, 0, 0
19000, 25504, 1, 0, 0
20000, 25590, 1, 0, 0
20000, 17409, 0, 0, 0
21000, 25714, 1, 0, 0
21000, 17470, 0, 0, 0
22000, 20243, 0, 0, 0
22000, 29602, 1, 0, 0
23000, 23308, 0, 0, 0
23000, 33056, 1, 0, 0
24000, 29117, 1, 0, 0
24000, 19830, 0, 0, 0
25000, 19726, 0, 0, 0
25000, 28631, 1, 0, 0
26000, 17483, 0, 0, 0
26000, 26258, 1, 0, 0
27000, 17410, 0, 0, 0
27000, 25701, 1, 0, 0
28000, 17196, 0, 0, 0
28000, 25361, 1, 0, 0
29000, 17654, 0, 0, 0
29000, 25861, 1, 0, 0
30000, 28554, 1, 0, 0
30000, 19482, 0, 0, 0
31000, 19807, 0, 0, 0
31000, 29066, 1, 0, 0
32000, 29469, 1, 0, 0
32000, 20027, 0, 0, 0
33000, 19527, 0, 0, 0
33000, 28562, 1, 0, 0
34000, 25200, 1, 0, 0
34000, 17147, 0, 0, 0
35000, 27002, 1, 0, 0
35000, 18440, 0, 0, 0
36000, 19014, 0, 0, 0
36000, 28148, 1, 0, 0
37000, 28346, 1, 0, 0
37000, 19231, 0, 0, 0
38000, 31916, 1, 0, 0
38000, 21931, 0, 0, 0
39000, 22142, 0, 0, 0
39000, 33041, 1, 0, 0
40000, 21681, 0, 0, 0
40000, 31698, 1, 0, 0
41000, 34303, 1, 0, 0
41000, 23650, 0, 0, 0
42000, 22002, 0, 0, 0
42000, 31971, 1, 0, 0
43000, 22368, 0, 0, 0
43000, 32974, 1, 0, 0
44000, 20536, 0, 0, 0
44000, 29849, 1, 0, 0
45000, 28635, 1, 0, 0
45000, 19570, 0, 0, 0
