1003, 44546, 0, 0, 0
1003, 4889, 1, 0, 0
2004, 55100, 0, 0, 0
2004, 6156, 1, 0, 0
3030, 57493, 0, 0, 0
3030, 6608, 1, 0, 0
4030, 53953, 0, 0, 0
4030, 5897, 1, 0, 0
5031, 39924, 0, 0, 0
5031, 4427, 1, 0, 0
6031, 60160, 0, 0, 0
6031, 6440, 1, 0, 0
7046, 38950, 0, 0, 0
7046, 4268, 1, 0, 0
8047, 45420, 0, 0, 0
8047, 4924, 1, 0, 0
9047, 70240, 0, 0, 0
9047, 7764, 1, 0, 0
10047, 54492, 0, 0, 0
10047, 5752, 1, 0, 0
11048, 43512, 0, 0, 0
11048, 5004, 1, 0, 0
12048, 46988, 0, 0, 0
12048, 5164, 1, 0, 0
13049, 50613, 0, 0, 0
13049, 5614, 1, 0, 0
14050, 51956, 0, 0, 0
14050, 5958, 1, 0, 0
15051, 74188, 0, 0, 0
15051, 8440, 1, 0, 0
16051, 62276, 0, 0, 0
16051, 6720, 1, 0, 0
17053, 42969, 0, 0, 0
17053, 4647, 1, 0, 0
18055, 64091, 0, 0, 0
18055, 7225, 1, 0, 0
19056, 50060, 0, 0, 0
19056, 5748, 1, 0, 0
20057, 37796, 0, 0, 0
20057, 4256, 1, 0, 0
21057, 52964, 0, 0, 0
21057, 6160, 1, 0, 0
22058, 49780, 0, 0, 0
22058, 5404, 1, 0, 0
23059, 49796, 0, 0, 0
23059, 5492, 1, 0, 0
24059, 37008, 0, 0, 0
24059, 4156, 1, 0, 0
25060, 36132, 0, 0, 0
25060, 4192, 1, 0, 0
26060, 40812, 0, 0, 0
26060, 4696, 1, 0, 0
27062, 64163, 0, 0, 0
27062, 7148, 1, 0, 0
28085, 50187, 0, 0, 0
28085, 5788, 1, 0, 0
29085, 70664, 0, 0, 0
29085, 8040, 1, 0, 0
30086, 58380, 0, 0, 0
30086, 6240, 1, 0, 0
31087, 32328, 0, 0, 0
31087, 3540, 1, 0, 0
32088, 62697, 0, 0, 0
32088, 7004, 1, 0, 0
33088, 41360, 0, 0, 0
33088, 4588, 1, 0, 0
34089, 34220, 0, 0, 0
34089, 3964, 1, 0, 0
35090, 47636, 0, 0, 0
35090, 5496, 1, 0, 0
36091, 51112, 0, 0, 0
36091, 5708, 1, 0, 0
37091, 63068, 0, 0, 0
37091, 7120, 1, 0, 0
38092, 34941, 0, 0, 0
38092, 4143, 1, 0, 0
39093, 48968, 0, 0, 0
39093, 5580, 1, 0, 0
