1000, 407700, 0, 0, 0
2000, 460392, 0, 0, 0
3000, 496879, 0, 0, 0
4000, 567774, 0, 0, 0
5000, 435881, 0, 0, 0
6000, 401805, 0, 0, 0
7000, 378968, 0, 0, 0
8000, 412168, 0, 0, 0
9000, 384075, 0, 0, 0
10000, 380749, 0, 0, 0
11000, 384878, 0, 0, 0
12000, 388455, 0, 0, 0
13000, 389844, 0, 0, 0
14000, 378896, 0, 0, 0
15000, 382030, 0, 0, 0
16000, 380402, 0, 0, 0
17000, 379063, 0, 0, 0
18000, 379194, 0, 0, 0
19000, 376471, 0, 0, 0
20000, 378579, 0, 0, 0
21000, 380255, 0, 0, 0
22000, 375762, 0, 0, 0
23000, 380717, 0, 0, 0
24000, 378997, 0, 0, 0
25000, 365872, 0, 0, 0
26000, 380086, 0, 0, 0
27000, 384737, 0, 0, 0
28000, 385502, 0, 0, 0
29000, 391283, 0, 0, 0
30000, 400386, 0, 0, 0
30000, 506900, 0, 0, 0
